1,4,5,93,92,22,23,31,63,96,94
1,4,5,93,92,22,23,31,63,96,94
1,4,4,95,97,13,26,28,48,95,93
1,5,5,95,96,21,33,24,56,88,90
1,4,4,91,86,30,38,45,78,93,92
1,4,3,87,85,25,19,42,80,88,89
1,3,4,88,89,51,52,55,65,87,86
1,4,4,90,87,15,27,41,84,85,86
0,4,2,72,67,90,91,92,82,84,47
1,4,4,91,93,25,22,27,54,85,85
1,4,4,91,93,25,22,27,54,85,85
1,4,4,92,86,66,73,80,62,88,79
0,4,4,92,86,66,73,80,62,88,79
1,2,4,90,86,22,19,16,48,87,84
1,2,4,90,86,22,19,16,48,87,84
1,4,3,85,84,12,18,22,50,86,92
0,3,3,80,68,90,89,91,77,84,59
0,3,3,83,61,85,90,89,84,82,52
1,4,4,89,89,13,12,20,57,88,91
1,4,5,90,89,68,76,75,72,86,84
1,4,5,90,89,68,76,75,72,86,84
1,3,4,86,87,23,11,22,69,90,91
1,3,4,86,87,23,11,22,69,90,91
1,4,4,86,85,30,40,39,68,88,84
1,4,4,86,85,30,40,39,68,88,84
1,4,4,86,85,30,40,39,68,88,84
1,4,4,85,86,30,46,36,49,87,87
1,4,4,85,86,30,46,36,49,87,87
1,3,4,86,89,30,35,39,80,87,86
1,3,4,86,89,30,35,39,80,87,86
1,5,3,85,78,63,65,75,60,85,76
0,5,3,85,78,63,65,75,60,85,76
0,3,2,76,53,87,89,86,86,85,48
0,3,2,77,68,85,87,92,66,85,56
0,2,2,55,56,92,90,92,90,78,28
0,3,3,86,82,86,95,87,58,91,69
1,3,3,86,82,86,95,87,58,91,69
